REP1,3574931.001,6423171.146
REP2,3574925.879,6423168.703
REP3,3574917.795,6423146.105
REP4,3574952.347,6423133.993
REP5,3574961.609,6423160.417
REP6,3574991.389,6423149.978
REP7,3574993.841,6423144.880
REP8,3574985.902,6423122.231
REP9,3574976.639,6423095.808
REP10,3574943.084,6423107.570
REP11,3574908.363,6423119.741
REP12,3574900.278,6423097.143
REP13,3574902.706,6423092.054
REP14,3574933.822,6423081.146
REP15,3574963.601,6423070.707
REP16,3574968.700,6423073.159
REP17,3574983.799,6423067.866
REP18,3574986.250,6423062.768
REP19,3575016.029,6423052.329
REP20,3575025.291,6423078.753
REP21,3574991.738,6423090.515
REP22,3575001.001,6423116.938
REP23,3575034.554,6423105.177
REP24,3575008.940,6423139.587
REP25,3575014.038,6423142.039
REP26,3575043.817,6423131.600
REP27,3575073.596,6423121.161
REP28,3575076.048,6423116.063
REP29,3575068.109,6423093.414
REP30,3575058.846,6423066.991
REP31,3575050.907,6423044.342
REP32,3575045.808,6423041.890
REP33,3575068.457,6423033.951
REP34,3575066.006,6423039.049
REP35,3575073.945,6423061.698
REP36,3575107.498,6423049.936
REP37,3575116.761,6423076.360
REP38,3575083.208,6423088.121
REP39,3575091.147,6423110.770
REP40,3575096.245,6423113.222
REP41,3575126.023,6423102.783
REP42,3575155.803,6423092.344
REP43,3575158.255,6423087.246
REP44,3575150.315,6423064.597
REP45,3575141.053,6423038.174
REP46,3575098.236,6423023.512
REP47,3575128.015,6423013.073
REP48,3575133.113,6423015.525
REP49,3575148.213,6423010.232
REP50,3575150.664,6423005.134
REP51,3575180.443,6422994.695
REP52,3575189.705,6423021.119
REP53,3575156.152,6423032.881
REP54,3575165.415,6423059.304
REP55,3575198.968,6423047.543
REP56,3575208.230,6423073.966
REP57,3575178.452,6423084.405
REP58,3575173.354,6423081.953
REP59,3575232.522,6423035.780
REP60,3575240.462,6423058.429
REP61,3575238.010,6423063.527
REP62,3575223.260,6423009.357
REP63,3575215.320,6422986.708
REP64,3575210.222,6422984.256
REP65,3575232.871,6422976.317
REP66,3575230.420,6422981.415
REP67,3575238.359,6423004.064
